,no.,Municipio,Provincia,Mes de origen ,Dia de origen,Mes de extincion,Dia extincion,Causas,Area Afectada en Tareas,Metros Cuadrados,Mes de origen .1,Fecha origen,Fecha Extincion,Fecha Mes
0,1,Pedernales,Pedernales,Enero,5,Enero,7,Desconocida,665,418151.99999999994,1,01/05/2021,01/07/2021,Jan-2021
1,2,Pedro Santana,Elías Piña,Enero,13,Enero,13,Conuquismo,95,59735.99999999999,1,01/13/2021,01/13/2021,Jan-2021
2,3,Constanza,La Vega,Enero,3,Enero,3,Desconocida,1,628.8,1,01/03/2021,01/03/2021,Jan-2021
3,4,SAJOMA,Santiago,Enero,16,Enero,16,Desconocida,45,28295.999999999996,1,01/16/2021,01/16/2021,Jan-2021
4,5,La Vega,La Vega,Enero,15,Enero,15,Intencional,8,5030.4,1,01/15/2021,01/15/2021,Jan-2021
5,6,Ocoa,Ocoa,Enero,17,Enero,18,Ganaderia,45,28295.999999999996,1,01/17/2021,01/18/2021,Jan-2021
6,7,Padre Las Casas,Azua,Enero,18,Enero,18,Desconocida,20,12576.0,1,01/18/2021,01/18/2021,Jan-2021
7,8,Restauracion ,Dajabon,Enero,23,Enero,23,No Intencional,35,22008.0,1,01/23/2021,01/23/2021,Jan-2021
8,9,Restauracion ,Dajabon,Enero,25,Enero,25,Conuquismo,12,7545.599999999999,1,01/25/2021,01/25/2021,Jan-2021
9,10,SAJOMA,Santiago,Enero,25,Enero,25,Desconocida,50,31439.999999999996,1,01/25/2021,01/25/2021,Jan-2021
10,11,PNJCR,San Juan,Enero,27,Enero,28,Ganaderia,250,157200.0,1,01/27/2021,01/28/2021,Jan-2021
11,12,Constanza,La Vega,Enero,27,Enero,27,Desconocida,15,9432.0,1,01/27/2021,01/27/2021,Jan-2021
12,13,Moncion,Stgo. Rguez.,Enero,26,Enero,27,Desconocida,66,41500.799999999996,1,01/26/2021,01/27/2021,Jan-2021
13,14,SAJOMA,Santiago,Enero,26,Enero,27,Ganaderia,70,44016.0,1,01/26/2021,01/27/2021,Jan-2021
14,15,SAJOMA,Santiago,Enero,20,Enero,20,Intencional,5,3144.0,1,01/20/2021,01/20/2021,Jan-2021
15,16,Pedernales,Pedernales,Enero,20,Enero,21,Carboneros,150,94320.0,1,01/20/2021,01/21/2021,Jan-2021
16,17,Constanza,La Vega,Enero,24,Enero,24,Conuquismo,40,25152.0,1,01/24/2021,01/24/2021,Jan-2021
17,18,Ocoa,Ocoa,Enero,24,Enero,25,Conuquismo,600,377280.0,1,01/24/2021,01/25/2021,Jan-2021
18,19,PNJCR,San Juan,Enero,24,Enero,25,Ganaderia,250,157200.0,1,01/24/2021,01/25/2021,Jan-2021
19,20,Jarabacoa,La Vega,Enero,18,Enero,18,Conuquismo,12,7545.599999999999,1,01/18/2021,01/18/2021,Jan-2021
20,21,Constanza,La Vega,Febrero,2,Febrero,3,Caminantes,426,267868.8,2,02/02/2021,02/03/2021,Feb-2021
21,22,Pedernales,Pedernales,Febrero,4,Febrero,5,Carboneros,200,125759.99999999999,2,02/04/2021,02/05/2021,Feb-2021
22,23,Bonao,Mons. Nouel,Febrero,8,Febrero,8,Desconocida,40,25152.0,2,02/08/2021,02/08/2021,Feb-2021
23,24,Restauracion ,Dajabon,Febrero,7,Febrero,7,Ganaderia,10,6288.0,2,02/07/2021,02/07/2021,Feb-2021
24,25,Jarabacoa,La Vega,Febrero,9,Febrero,9,Conuquismo,8,5030.4,2,02/09/2021,02/09/2021,Feb-2021
25,26,Jarabacoa,La Vega,Febrero,16,Febrero,16,Intencional,12,7545.599999999999,2,02/16/2021,02/16/2021,Feb-2021
26,27,La Vega,La Vega,Febrero,15,Febrero,15,Descarga Electrica,4,2515.2,2,02/15/2021,02/15/2021,Feb-2021
27,28,El Llano,Elías Piña,Febrero,19,Febrero,19,Conuquismo,50,31439.999999999996,2,02/19/2021,02/19/2021,Feb-2021
28,29,El Llano,Elías Piña,Febrero,20,Febrero,20,Desconocida,50,31439.999999999996,2,02/20/2021,02/20/2021,Feb-2021
29,30,Padre Las Casas,Azua,Febrero,22,Febrero,22,Caminantes,67,42129.6,2,02/22/2021,02/22/2021,Feb-2021
30,31,Padre Las Casas,Azua,Febrero,23,Febrero,23,Conuquismo,80,50304.0,2,02/23/2021,02/23/2021,Feb-2021
31,32,Pedernales,Pedernales,Febrero,22,Febrero,23,Conuquismo,200,125759.99999999999,2,02/22/2021,02/23/2021,Feb-2021
32,33,Restauracion ,Dajabon,Febrero,17,Febrero,17,Desconocida,26,16348.8,2,02/17/2021,02/17/2021,Feb-2021
33,34,Dajabon,Dajabon,Febrero,19,Febrero,19,Colmeneros,50,31439.999999999996,2,02/19/2021,02/19/2021,Feb-2021
34,35,San Juan,San Juan,Febrero,24,Febrero,24,Conuquismo,600,377280.0,2,02/24/2021,02/24/2021,Feb-2021
35,36,Descubierta,Independencia,Febrero,21,Febrero,21,Conuquismo,110,69168.0,2,02/21/2021,02/21/2021,Feb-2021
36,37,Constanza,La Vega,Febrero,4,Febrero,4,Conuquismo,5,3144.0,2,02/04/2021,02/04/2021,Feb-2021
37,38,Pedro Santana,Elías Piña,Febrero,25,Febrero,25,Conuquismo,100,62879.99999999999,2,02/25/2021,02/25/2021,Feb-2021
38,39,Restauracion ,Dajabon,Febrero,19,Febrero,20,Desconocida,47,29553.6,2,02/19/2021,02/20/2021,Feb-2021
39,40,Restauracion ,Dajabon,Febrero,25,Febrero,25,Desconocida,69,43387.2,2,02/25/2021,02/25/2021,Feb-2021
40,41,Pedro Santana,Elías Piña,Febrero,28,Febrero,28,Caminantes,215,135192.0,2,02/28/2021,02/28/2021,Feb-2021
41,42,Restauracion ,Dajabon,Febrero,20,Febrero,20,Conuquismo,206,129532.79999999999,2,02/20/2021,02/20/2021,Feb-2021
42,43,San Juan,San Juan,Febrero,21,Febrero,22,Caminantes,76,47788.799999999996,2,02/21/2021,02/22/2021,Feb-2021
43,44,Dajabon,Dajabon,Febrero,19,Febrero,19,Colmeneros,45,28295.999999999996,2,02/19/2021,02/19/2021,Feb-2021
44,45,Dajabon,Dajabon,Febrero,26,Febrero,27,Conuquismo,20,12576.0,2,02/26/2021,02/27/2021,Feb-2021
45,46,Dajabon,Dajabon,Febrero,28,Febrero,28,Ganaderia,60,37728.0,2,02/28/2021,02/28/2021,Feb-2021
46,47,Partido,Dajabon,Febrero,26,Febrero,26,Conuquismo,25,15719.999999999998,2,02/26/2021,02/26/2021,Feb-2021
47,48,San Juan,San Juan,Febrero,7,Febrero,8,Conuquismo,50,31439.999999999996,2,02/07/2021,02/08/2021,Feb-2021
48,49,San Juan,San Juan,Febrero,26,Febrero,27,Conuquismo,150,94320.0,2,02/26/2021,02/27/2021,Feb-2021
49,50,San Juan,San Juan,Febrero,7,Febrero,8,Conuquismo,70,44016.0,2,02/07/2021,02/08/2021,Feb-2021
50,51,San Juan,San Juan,Febrero,12,Febrero,13,Conuquismo,25,15719.999999999998,2,02/12/2021,02/13/2021,Feb-2021
51,52,San Juan,San Juan,Febrero,27,Febrero,28,Conuquismo,100,62879.99999999999,2,02/27/2021,02/28/2021,Feb-2021
52,53,San Juan,San Juan,Febrero,20,Febrero,20,Conuquismo,100,62879.99999999999,2,02/20/2021,02/20/2021,Feb-2021
53,54,Moncion,Stgo. Rguez.,Febrero,26,Febrero,26,Conuquismo,17,10689.599999999999,2,02/26/2021,02/26/2021,Feb-2021
54,55,Pedernales,Pedernales,Febrero,27,Marzo,4,Conuquismo,16960,10664448.0,2,02/27/2021,02/04/2021,Feb-2021
55,56,Pedernales,Pedernales,Febrero,26,Marzo,4,Conuquismo,2080,1307904.0,2,02/26/2021,02/04/2021,Feb-2021
56,57,Piedra Blanca,Mons. Nouel,Marzo,8,Marzo,4,Ganaderia,60,37728.0,3,03/08/2021,03/04/2021,Mar-2021
57,58,Villa Altagracia,San Cristobal,Marzo,6,Marzo,6,Conuquismo,30,18864.0,3,03/06/2021,03/06/2021,Mar-2021
58,59,Villa Altagracia,San Cristobal,Marzo,7,Marzo,8,Conuquismo,60,37728.0,3,03/07/2021,03/08/2021,Mar-2021
59,60,Pedernales,Pedernales,Marzo,3,Marzo,3,Carboneros,20,12576.0,3,03/03/2021,03/03/2021,Mar-2021
60,61,Restauracion ,Dajabon,Marzo,3,Marzo,3,Conuquismo,8,5030.4,3,03/03/2021,03/03/2021,Mar-2021
61,62,Pedro Santana,Elías Piña,Marzo,5,Marzo,5,Conuquismo,389,244603.19999999998,3,03/05/2021,03/05/2021,Mar-2021
62,63,Restauracion ,Elías Piña,Marzo,5,Marzo,5,Conuquismo,150,94320.0,3,03/05/2021,03/05/2021,Mar-2021
63,64,San Juan,Elías Piña,Febrero,28,Marzo,2,Colmeneros,800,503039.99999999994,2,02/28/2021,02/02/2021,Feb-2021
64,65,San Juan,Elías Piña,Marzo,3,Marzo,3,Conuquismo,116,72940.79999999999,3,03/03/2021,03/03/2021,Mar-2021
65,66,San Juan,Elías Piña,Marzo,1,Marzo,2,Conuquismo,300,188640.0,3,03/01/2021,03/02/2021,Mar-2021
66,67,San Juan,Elías Piña,Marzo,5,Marzo,5,Intencional,72,45273.6,3,03/05/2021,03/05/2021,Mar-2021
67,68,Dajabon,Elías Piña,Marzo,5,Marzo,5,Carboneros,75,47160.0,3,03/05/2021,03/05/2021,Mar-2021
68,69,Partido,Elías Piña,Marzo,2,Marzo,2,Intencional,10,6288.0,3,03/02/2021,03/02/2021,Mar-2021
69,70,El Cercado,Elías Piña,Marzo,3,Marzo,4,Conuquismo,200,125759.99999999999,3,03/03/2021,03/04/2021,Mar-2021
70,71,Comendador,Elías Piña,Marzo,4,Marzo,4,Intencional,180,113183.99999999999,3,03/04/2021,03/04/2021,Mar-2021
71,72,El Cercado,Elías Piña,Marzo,2,Marzo,3,Conuquismo,100,62879.99999999999,3,03/02/2021,03/03/2021,Mar-2021
72,73,San Juan,Elías Piña,Marzo,4,Marzo,5,Conuquismo,180,113183.99999999999,3,03/04/2021,03/05/2021,Mar-2021
73,74,Padre Las Casas,Elías Piña,Marzo,10,Marzo,10,Conuquismo,15,9432.0,3,03/10/2021,03/10/2021,Mar-2021
74,75,Padre Las Casas,Elías Piña,Marzo,9,Marzo,10,Conuquismo,115,72312.0,3,03/09/2021,03/10/2021,Mar-2021
75,76,Padre Las Casas,Elías Piña,Marzo,3,Marzo,3,Conuquismo,200,125759.99999999999,3,03/03/2021,03/03/2021,Mar-2021
76,77,Padre Las Casas,Elías Piña,Marzo,4,Marzo,5,Conuquismo,115,72312.0,3,03/04/2021,03/05/2021,Mar-2021
77,78,Sabaneta,Elías Piña,Marzo,8,Marzo,8,Conuquismo,42,26409.6,3,03/08/2021,03/08/2021,Mar-2021
78,79,Sabaneta,Elías Piña,Marzo,5,Marzo,5,Conuquismo,16,10060.8,3,03/05/2021,03/05/2021,Mar-2021
79,80,Sabaneta,Elías Piña,Marzo,5,Marzo,6,Conuquismo,35,22008.0,3,03/05/2021,03/06/2021,Mar-2021
80,81,Moncion,Elías Piña,Marzo,1,Marzo,1,Conuquismo,79,49675.2,3,03/01/2021,03/01/2021,Mar-2021
81,82,Moncion,Elías Piña,Marzo,3,Marzo,3,Conuquismo,89,55963.2,3,03/03/2021,03/03/2021,Mar-2021
82,83,San Juan,Elías Piña,Marzo,2,Marzo,3,Conuquismo,230,144624.0,3,03/02/2021,03/03/2021,Mar-2021
83,84,Padre Las Casas,Elías Piña,Marzo,4,Marzo,4,Conuquismo,220,138336.0,3,03/04/2021,03/04/2021,Mar-2021
84,85,Restauracion ,Elías Piña,Marzo,16,Marzo,16,Intencional,70,44016.0,3,03/16/2021,03/16/2021,Mar-2021
85,86,Dajabon,Elías Piña,Marzo,16,Marzo,16,Quema de Basura,10,6288.0,3,03/16/2021,03/16/2021,Mar-2021
86,87,Padre Las Casas,Elías Piña,Marzo,16,Marzo,17,Conuquismo,1000,628800.0,3,03/16/2021,03/17/2021,Mar-2021
87,88,Padre Las Casas,Elías Piña,Marzo,16,Marzo,17,Conuquismo,1200,754560.0,3,03/16/2021,03/17/2021,Mar-2021
88,89,San Juan,Elías Piña,Marzo,16,Marzo,17,Conuquismo,120,75456.0,3,03/16/2021,03/17/2021,Mar-2021
89,90,San Juan,Elías Piña,Marzo,16,Marzo,17,Conuquismo,100,62879.99999999999,3,03/16/2021,03/17/2021,Mar-2021
90,91,San Juan,Elías Piña,Marzo,20,Marzo,21,Ganaderia,100,62879.99999999999,3,03/20/2021,03/21/2021,Mar-2021
91,92,San Juan,Elías Piña,Marzo,21,Marzo,21,Intencional,25,15719.999999999998,3,03/21/2021,03/21/2021,Mar-2021
92,93,San Juan,Elías Piña,Marzo,2,Marzo,3,Conuquismo,50,31439.999999999996,3,03/02/2021,03/03/2021,Mar-2021
93,94,San Juan,Elías Piña,Marzo,2,Marzo,3,Intencional,80,50304.0,3,03/02/2021,03/03/2021,Mar-2021
94,95,San Juan,Elías Piña,Marzo,19,Marzo,19,Conuquismo,65,40872.0,3,03/19/2021,03/19/2021,Mar-2021
95,96,Villa Altagracia,Elías Piña,Marzo,20,Marzo,20,Conuquismo,40,25152.0,3,03/20/2021,03/20/2021,Mar-2021
96,97,Constanza,Elías Piña,Marzo,19,Marzo,19,Conuquismo,25,15719.999999999998,3,03/19/2021,03/19/2021,Mar-2021
97,98,Villa Altagracia,Elías Piña,Marzo,21,Marzo,22,Conuquismo,80,50304.0,3,03/21/2021,03/22/2021,Mar-2021
98,99,Padre Las Casas,Elías Piña,Marzo,15,Marzo,15,Desconocida,70,44016.0,3,03/15/2021,03/15/2021,Mar-2021
99,100,Constanza,Elías Piña,Marzo,26,Marzo,27,Ganaderia,134,84259.2,3,03/26/2021,03/27/2021,Mar-2021
100,101,Padre Las Casas,Elías Piña,Marzo,26,Marzo,26,Conuquismo,200,125759.99999999999,3,03/26/2021,03/26/2021,Mar-2021
101,102,Pedernales,Elías Piña,Marzo,29,Marzo,30,Conuquismo,80,50304.0,3,03/29/2021,03/30/2021,Mar-2021
102,103,Restauracion ,Elías Piña,Marzo,28,Marzo,28,Conuquismo,100,62879.99999999999,3,03/28/2021,03/28/2021,Mar-2021
103,104,Restauracion ,Elías Piña,Marzo,29,Marzo,29,Conuquismo,50,31439.999999999996,3,03/29/2021,03/29/2021,Mar-2021
104,105,SAJOMA,Elías Piña,Marzo,28,Marzo,29,Ganaderia,55,34584.0,3,03/28/2021,03/29/2021,Mar-2021
105,106,Constanza,Elías Piña,Marzo,26,Marzo,27,Ganaderia,160,100608.0,3,03/26/2021,03/27/2021,Mar-2021
106,107,Duverge,Elías Piña,Marzo,31,Abril,2,Desconocida,16,10060.8,3,03/31/2021,03/02/2021,Mar-2021
107,108,San Juan,Elías Piña,Abril,3,Abril,3,Conuquismo,45,28295.999999999996,4,04/03/2021,04/03/2021,Apr-2021
108,109,Padre Las Casas,Elías Piña,Marzo,30,Abril,1,Conuquismo,1600,1006079.9999999999,3,03/30/2021,03/01/2021,Mar-2021
109,110,SAJOMA,Elías Piña,Abril,1,Abril,2,Ganaderia,117,73569.59999999999,4,04/01/2021,04/02/2021,Apr-2021
110,111,Ocoa,Elías Piña,Abril,18,Abril,18,Ganaderia,25,15719.999999999998,4,04/18/2021,04/18/2021,Apr-2021
111,112,Pedro Santana,Elías Piña,Abril,18,Abril,18,Conuquismo,20,12576.0,4,04/18/2021,04/18/2021,Apr-2021
112,113,Pedro Santana,Elías Piña,Abril,18,Abril,18,Conuquismo,15,9432.0,4,04/18/2021,04/18/2021,Apr-2021
113,114,La Vega,Elías Piña,Abril,15,Abril,15,Intencional,12,7545.599999999999,4,04/15/2021,04/15/2021,Apr-2021
114,115,Moncion,Elías Piña,Abril,24,Abril,25,Intencional,76,47788.799999999996,4,04/24/2021,04/25/2021,Apr-2021
115,116,Moncion,Elías Piña,Abril,24,Abril,25,Intencional,120,75456.0,4,04/24/2021,04/25/2021,Apr-2021
116,117,Moncion,Elías Piña,Abril,24,Abril,26,Intencional,390,245231.99999999997,4,04/24/2021,04/26/2021,Apr-2021
117,118,Duverge,Elías Piña,Abril,21,Abril,23,Intencional,1466,921820.7999999999,4,04/21/2021,04/23/2021,Apr-2021
118,119,La Vega,Elías Piña,Abril,21,Abril,21,Descarga Electrica,30,18864.0,4,04/21/2021,04/21/2021,Apr-2021
119,120,San Juan,Elías Piña,Abril,22,Abril,22,Conuquismo,40,25152.0,4,04/22/2021,04/22/2021,Apr-2021
120,121,San Juan,Elías Piña,Abril,20,Abril,21,Conuquismo,150,94320.0,4,04/20/2021,04/21/2021,Apr-2021
121,122,Pedro Santana,Elías Piña,Abril,9,Abril,10,Conuquismo,200,125759.99999999999,4,04/09/2021,04/10/2021,Apr-2021
122,123,Pedro Santana,Elías Piña,Abril,13,Abril,14,Intencional,400,251519.99999999997,4,04/13/2021,04/14/2021,Apr-2021
123,124,Banica,Elías Piña,Abril,18,Abril,18,Intencional,12,7545.599999999999,4,04/18/2021,04/18/2021,Apr-2021
124,125,Restauracion ,Elías Piña,Abril,15,Abril,15,Conuquismo,25,15719.999999999998,4,04/15/2021,04/15/2021,Apr-2021
